'405','A1CHC8M7CWC254','itNews_v2','224','1','0',' %s%sMy heart goes out to the souls lost today in Nigeria. My thoughts and prayers are with the families of those lost in this horrible tragedy.$$$Earthquake Strikes Nigeria$$$ABUJA, Nigeria$$$A powerful earthquake of magnitude 6.7 occurred in Nigeria before dawn on Monday, leaving %s people dead, and an undetermined number injured.$$$The quake, which hit at 5:42am, had an epicenter about 20 miles south of the city of Abuja. A geographical survey reported the quake`s depth to be at 86 miles, and its tremors were felt nearly 1000 miles away.',,,'211','Nigeria','Jared','10000','3',NULL,NULL,'wait'
'410','A3MTNKGCAXQPUT','itNews_v2','225','1','1',' %s%sMy heart goes out to the souls lost today in Japan. My thoughts and prayers are with the families of those lost in this horrible tragedy.$$$Earthquake Strikes Japan$$$TOKYO, Japan$$$A powerful earthquake of magnitude 6.7 occurred in Japan before dawn on Monday, leaving %s people dead, and an undetermined number injured.$$$The quake, which hit at 5:42am, had an epicenter about 20 miles south of the city of Takasaki. A geographical survey reported the quake`s depth to be at 86 miles, and its tremors were felt nearly 1000 miles away.',,,'211','Japan','I dont know','232','3',NULL,NULL,'wait'
'412','A1137NSU9JOCHK','itNews_v2','226','1','2',' %s%sMy heart goes out to the souls lost today in Pakistan. My thoughts and prayers are with the families of those lost in this horrible tragedy.$$$Earthquake Strikes Pakistan$$$ISTANBUL, Pakistan$$$A powerful earthquake of magnitude 6.7 occurred in Pakistan before dawn on Monday, leaving %s people dead, and an undetermined number injured.$$$The quake, which hit at 5:42am, had an epicenter about 20 miles south of the city of Okara. A geographical survey reported the quake`s depth to be at 86 miles, and its tremors were felt nearly 1000 miles away.',,,'211','Pakistan ','jim','150','3',NULL,NULL,'wait'
'413','A3SCEZTWZYV3BC','itNews_v2','229','1','3',' %s%sMy heart goes out to the souls lost today in Texas. My thoughts and prayers are with the families of those lost in this horrible tragedy.$$$Earthquake Strikes Texas$$$AUSTIN, Texas$$$A powerful earthquake of magnitude 6.7 occurred in Texas before dawn on Monday, leaving %s people dead, and an undetermined number injured.$$$The quake, which hit at 5:42am, had an epicenter about 20 miles south of the city of Brownsville. A geographical survey reported the quake`s depth to be at 86 miles, and its tremors were felt nearly 1000 miles away.',,,'211','Texas','Bobby','86','3',NULL,NULL,'wait'
'419','A3TYITGZ7LBO54','itNews_v2','232','1','2',' %s%sMy heart goes out to the souls lost today in Pakistan. My thoughts and prayers are with the families of those lost in this horrible tragedy.$$$Earthquake Strikes Pakistan$$$ISTANBUL, Pakistan$$$A powerful earthquake of magnitude 6.7 occurred in Pakistan before dawn on Monday, leaving %s people dead, and an undetermined number injured.$$$The quake, which hit at 5:42am, had an epicenter about 20 miles south of the city of Okara. A geographical survey reported the quake`s depth to be at 86 miles, and its tremors were felt nearly 1000 miles away.',,,'211','Sud','Mar','100','3',NULL,NULL,'wait'
'420','AQSDNX5OU198C','itNews_v2','230','1','0',' %s%sMy heart goes out to the souls lost today in Nigeria. My thoughts and prayers are with the families of those lost in this horrible tragedy.$$$Earthquake Strikes Nigeria$$$ABUJA, Nigeria$$$A powerful earthquake of magnitude 6.7 occurred in Nigeria before dawn on Monday, leaving %s people dead, and an undetermined number injured.$$$The quake, which hit at 5:42am, had an epicenter about 20 miles south of the city of Abuja. A geographical survey reported the quake`s depth to be at 86 miles, and its tremors were felt nearly 1000 miles away.',,,'211','Nigerian','Joe','1000','3',NULL,NULL,'wait'
'421','A1CS6V71UGL7FT','itNews_v2','234','1','4',' %s%sMy heart goes out to the souls lost today in France. My thoughts and prayers are with the families of those lost in this horrible tragedy.$$$Earthquake Strikes France$$$PARIS, France$$$A powerful earthquake of magnitude 6.7 occurred in France before dawn on Monday, leaving %s people dead, and an undetermined number injured.$$$The quake, which hit at 5:42am, had an epicenter about 20 miles south of the city of Rennes. A geographical survey reported the quake`s depth to be at 86 miles, and its tremors were felt nearly 1000 miles away.',,,'211','France','Jeff','67','3',NULL,NULL,'wait'
'422','A2UCKZZI9KBBCV','itNews_v2','233','1','3',' %s%sMy heart goes out to the souls lost today in Texas. My thoughts and prayers are with the families of those lost in this horrible tragedy.$$$Earthquake Strikes Texas$$$AUSTIN, Texas$$$A powerful earthquake of magnitude 6.7 occurred in Texas before dawn on Monday, leaving %s people dead, and an undetermined number injured.$$$The quake, which hit at 5:42am, had an epicenter about 20 miles south of the city of Brownsville. A geographical survey reported the quake`s depth to be at 86 miles, and its tremors were felt nearly 1000 miles away.',,,'211','Texas','Jeff','500','3',NULL,NULL,'wait'
'424','A1Z6BG9L54MV8L','itNews_v2','235','1','5',' %s%sMy heart goes out to the souls lost today in Russia. My thoughts and prayers are with the families of those lost in this horrible tragedy.$$$Earthquake Strikes Russia$$$MOSCOW, Russia$$$A powerful earthquake of magnitude 6.7 occurred in Russia before dawn on Monday, leaving %s people dead, and an undetermined number injured.$$$The quake, which hit at 5:42am, had an epicenter about 20 miles south of the city of Taganrog. A geographical survey reported the quake`s depth to be at 86 miles, and its tremors were felt nearly 1000 miles away.',,,'211','tangarock','John','33','3',NULL,NULL,'wait'
'427','A3GOI327COFGY5','itNews_v2','236','1','0',' %s%sMy heart goes out to the souls lost today in Nigeria. My thoughts and prayers are with the families of those lost in this horrible tragedy.$$$Earthquake Strikes Nigeria$$$ABUJA, Nigeria$$$A powerful earthquake of magnitude 6.7 occurred in Nigeria before dawn on Monday, leaving %s people dead, and an undetermined number injured.$$$The quake, which hit at 5:42am, had an epicenter about 20 miles south of the city of Abuja. A geographical survey reported the quake`s depth to be at 86 miles, and its tremors were felt nearly 1000 miles away.',,,'211','Nigeria','John','411','3',NULL,NULL,'wait'
'428','A1CIIX0CB0GR7H','itNews_v2','227','1','3',' %s%sMy heart goes out to the souls lost today in Texas. My thoughts and prayers are with the families of those lost in this horrible tragedy.$$$Earthquake Strikes Texas$$$AUSTIN, Texas$$$A powerful earthquake of magnitude 6.7 occurred in Texas before dawn on Monday, leaving %s people dead, and an undetermined number injured.$$$The quake, which hit at 5:42am, had an epicenter about 20 miles south of the city of Brownsville. A geographical survey reported the quake`s depth to be at 86 miles, and its tremors were felt nearly 1000 miles away.',,,'211','Texas','Jeffrey','6','3',NULL,NULL,'wait'
'436','A32QOCAC7XZJCP','itNews_v2','238','1','2',' %s%sMy heart goes out to the souls lost today in Pakistan. My thoughts and prayers are with the families of those lost in this horrible tragedy.$$$Earthquake Strikes Pakistan$$$ISTANBUL, Pakistan$$$A powerful earthquake of magnitude 6.7 occurred in Pakistan before dawn on Monday, leaving %s people dead, and an undetermined number injured.$$$The quake, which hit at 5:42am, had an epicenter about 20 miles south of the city of Okara. A geographical survey reported the quake`s depth to be at 86 miles, and its tremors were felt nearly 1000 miles away.',,,'211','Istanbul','Im not sure','53','3',NULL,NULL,'wait'
'437','A1B79AW7Z2QNHI','itNews_v2','239','1','3',' %s%sMy heart goes out to the souls lost today in Texas. My thoughts and prayers are with the families of those lost in this horrible tragedy.$$$Earthquake Strikes Texas$$$AUSTIN, Texas$$$A powerful earthquake of magnitude 6.7 occurred in Texas before dawn on Monday, leaving %s people dead, and an undetermined number injured.$$$The quake, which hit at 5:42am, had an epicenter about 20 miles south of the city of Brownsville. A geographical survey reported the quake`s depth to be at 86 miles, and its tremors were felt nearly 1000 miles away.',,,'211','Austin','bob','211','3',NULL,NULL,'wait'
'438','A7OWP0PQ1EI0A','itNews_v2','240','1','4',' %s%sMy heart goes out to the souls lost today in France. My thoughts and prayers are with the families of those lost in this horrible tragedy.$$$Earthquake Strikes France$$$PARIS, France$$$A powerful earthquake of magnitude 6.7 occurred in France before dawn on Monday, leaving %s people dead, and an undetermined number injured.$$$The quake, which hit at 5:42am, had an epicenter about 20 miles south of the city of Rennes. A geographical survey reported the quake`s depth to be at 86 miles, and its tremors were felt nearly 1000 miles away.',,,'211','FRANCE','JEN','4','3',NULL,NULL,'wait'
'440','A1G331HUXOSJAM','itNews_v2','242','1','0',' %s%sMy heart goes out to the souls lost today in Nigeria. My thoughts and prayers are with the families of those lost in this horrible tragedy.$$$Earthquake Strikes Nigeria$$$ABUJA, Nigeria$$$A powerful earthquake of magnitude 6.7 occurred in Nigeria before dawn on Monday, leaving %s people dead, and an undetermined number injured.$$$The quake, which hit at 5:42am, had an epicenter about 20 miles south of the city of Abuja. A geographical survey reported the quake`s depth to be at 86 miles, and its tremors were felt nearly 1000 miles away.',,,'211','Nigeria','dont know','14','3',NULL,NULL,'wait'
'443','A21ELDOCJDP2CA','itNews_v2','228','1','4',' %s%sMy heart goes out to the souls lost today in France. My thoughts and prayers are with the families of those lost in this horrible tragedy.$$$Earthquake Strikes France$$$PARIS, France$$$A powerful earthquake of magnitude 6.7 occurred in France before dawn on Monday, leaving %s people dead, and an undetermined number injured.$$$The quake, which hit at 5:42am, had an epicenter about 20 miles south of the city of Rennes. A geographical survey reported the quake`s depth to be at 86 miles, and its tremors were felt nearly 1000 miles away.',,,'211','paris','unknown','500','3',NULL,NULL,'wait'
